FILT                                                                                                                                                                                                                                                               INV  ILEN  OLEN  STRIDE  DIL  PAD  REF  PHASE  MATCH  API         CMD_STRING
[1]                                                                                                                                                                                                                                                                0    50    50    1       1    0    0    0      True   Torch       F.conv1d(input, weight, bias=None, stride=1, padding=0, dilation=1, groups=1)
[1]                                                                                                                                                                                                                                                                0    50    50    1       1    0    0    0      True   TensorFlow  tf.nn.convolution(input=input, filter=filter, padding=VALID, strides=[1], dilation_rate=[1])
[1 2]                                                                                                                                                                                                                                                              0    50    49    1       1    0    0    0      True   Torch       F.conv1d(input, weight, bias=None, stride=1, padding=0, dilation=1, groups=1)
[1 2]                                                                                                                                                                                                                                                              0    50    49    1       1    0    0    0      True   TensorFlow  tf.nn.convolution(input=input, filter=filter, padding=VALID, strides=[1], dilation_rate=[1])
[1 2 3]                                                                                                                                                                                                                                                            0    50    48    1       1    0    0    0      True   Torch       F.conv1d(input, weight, bias=None, stride=1, padding=0, dilation=1, groups=1)
[1 2 3]                                                                                                                                                                                                                                                            0    50    48    1       1    0    0    0      True   TensorFlow  tf.nn.convolution(input=input, filter=filter, padding=VALID, strides=[1], dilation_rate=[1])
[1 2 3 4]                                                                                                                                                                                                                                                          0    50    47    1       1    0    0    0      True   Torch       F.conv1d(input, weight, bias=None, stride=1, padding=0, dilation=1, groups=1)
[1 2 3 4]                                                                                                                                                                                                                                                          0    50    47    1       1    0    0    0      True   TensorFlow  tf.nn.convolution(input=input, filter=filter, padding=VALID, strides=[1], dilation_rate=[1])
[1 2 3 4 5]                                                                                                                                                                                                                                                        0    50    46    1       1    0    0    0      True   Torch       F.conv1d(input, weight, bias=None, stride=1, padding=0, dilation=1, groups=1)
[1 2 3 4 5]                                                                                                                                                                                                                                                        0    50    46    1       1    0    0    0      True   TensorFlow  tf.nn.convolution(input=input, filter=filter, padding=VALID, strides=[1], dilation_rate=[1])
[1 2 3 4 5 6]                                                                                                                                                                                                                                                      0    50    45    1       1    0    0    0      True   Torch       F.conv1d(input, weight, bias=None, stride=1, padding=0, dilation=1, groups=1)
[1 2 3 4 5 6]                                                                                                                                                                                                                                                      0    50    45    1       1    0    0    0      True   TensorFlow  tf.nn.convolution(input=input, filter=filter, padding=VALID, strides=[1], dilation_rate=[1])
[1 2 3 4 5 6 7]                                                                                                                                                                                                                                                    0    50    44    1       1    0    0    0      True   Torch       F.conv1d(input, weight, bias=None, stride=1, padding=0, dilation=1, groups=1)
[1 2 3 4 5 6 7]                                                                                                                                                                                                                                                    0    50    44    1       1    0    0    0      True   TensorFlow  tf.nn.convolution(input=input, filter=filter, padding=VALID, strides=[1], dilation_rate=[1])
[1 2]                                                                                                                                                                                                                                                              0    50    49    1       1    0    1    0      True   Torch       F.conv1d(input, weight, bias=None, stride=1, padding=0, dilation=1, groups=1)
[1 2]                                                                                                                                                                                                                                                              0    50    49    1       1    0    1    0      True   TensorFlow  tf.nn.convolution(input=input, filter=filter, padding=VALID, strides=[1], dilation_rate=[1])
